"","subject","experiment","time","wheel","wheelabs","wheelpos","absdist","absspeed","posdist","posspeed","bothdist","dirspeed","absspeedf","posspeedf","dirspeedf"
"1636","Sample","Hab",163600,0,0,0,0,0,0,0,0,0,0,0,0
"1638","Sample","Hab",163800,0,0,0,0,0,0,0,0,0,0,0,0
"1640","Sample","Hab",164000,0,0,0,0,0,0,0,0,0,0,0,0
"1642","Sample","Hab",164200,0,0,0,0,0,0,0,0,0,0,0,0
"1644","Sample","Hab",164400,0,0,0,0,0,0,0,0,0,0,0,0
"1646","Sample","Hab",164600,0,0,0,0,0,0,0,0,0,0,0,0
"1648","Sample","Hab",164800,0,0,0,0,0,0,0,0,0,0,0,0
"1650","Sample","Hab",165000,0,0,0,0,0,0,0,0,0,0,0,0
"1652","Sample","Hab",165200,0,0,0,0,0,0,0,0,0,0,0,0
"1654","Sample","Hab",165400,0,0,0,0,0,0,0,0,0,0,0,0
"1656","Sample","Hab",165600,0,0,0,0,0,0,0,0,0,0,0,0
"1658","Sample","Hab",165800,0,0,0,0,0,0,0,0,0,0,0,0
"1660","Sample","Hab",166000,0,0,0,0,0,0,0,0,0,0,0,0
"1662","Sample","Hab",166200,0,0,0,0,0,0,0,0,0,0,0,0
"1664","Sample","Hab",166400,1,1,1,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0.331201171875,0,0
"1666","Sample","Hab",166600,-3,3,0,0.198720703125,0.993603515625,0,0,-0.198720703125,-0.993603515625,0.66240234375,0,0
"1668","Sample","Hab",166800,2,2,2,0.13248046875,0.66240234375,0.13248046875,0.66240234375,0.13248046875,0.66240234375,0.66240234375,0.331201171875,0.331201171875
"1670","Sample","Hab",167000,-2,2,0,0.13248046875,0.66240234375,0,0,-0.13248046875,-0.66240234375,0.66240234375,0,-0.331201171875
"1672","Sample","Hab",167200,1,1,1,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0.331201171875,0.331201171875,0.331201171875
"1674","Sample","Hab",167400,-1,1,0,0.066240234375,0.331201171875,0,0,-0.066240234375,-0.331201171875,0.331201171875,0,-0.331201171875
"1676","Sample","Hab",167600,1,1,1,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0.331201171875,0,0
"1678","Sample","Hab",167800,-1,1,0,0.066240234375,0.331201171875,0,0,-0.066240234375,-0.331201171875,0.331201171875,0,0
"1680","Sample","Hab",168000,0,0,0,0,0,0,0,0,0,0.331201171875,0,0
"1682","Sample","Hab",168200,0,0,0,0,0,0,0,0,0,0,0,0
"1684","Sample","Hab",168400,1,1,1,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0,0,0
"1686","Sample","Hab",168600,0,0,0,0,0,0,0,0,0,0,0,0
"1688","Sample","Hab",168800,0,0,0,0,0,0,0,0,0,0,0,0
"1690","Sample","Hab",169000,0,0,0,0,0,0,0,0,0,0,0,0
"1692","Sample","Hab",169200,0,0,0,0,0,0,0,0,0,0,0,0
"1694","Sample","Hab",169400,0,0,0,0,0,0,0,0,0,0,0,0
"1696","Sample","Hab",169600,0,0,0,0,0,0,0,0,0,0,0,0
"1698","Sample","Hab",169800,-1,1,0,0.066240234375,0.331201171875,0,0,-0.066240234375,-0.331201171875,0,0,0
"1700","Sample","Hab",170000,0,0,0,0,0,0,0,0,0,0,0,0
"1702","Sample","Hab",170200,0,0,0,0,0,0,0,0,0,0,0,0
