"","subject","experiment","time","pupilorig","pupilmm","pupilnorm"
"2502","Sample","Hab",500200,56.2470088714693,0.955026334444121,0.398407709103001
"2503","Sample","Hab",500400,56.6066302891183,0.961132400014109,0.400954972469081
"2504","Sample","Hab",500600,56.6066302891183,0.961132400014109,0.400954972469081
"2505","Sample","Hab",500800,55.8625237499383,0.948498104345644,0.395684331637661
"2506","Sample","Hab",501000,55.7368430153526,0.946364152449004,0.394794112325571
"2507","Sample","Hab",501200,55.7368430153526,0.946364152449004,0.394794112325571
"2508","Sample","Hab",501400,55.4079963049643,0.94078061521356,0.392464831761848
"2509","Sample","Hab",501600,55.4079963049643,0.94078061521356,0.392464831761848
"2510","Sample","Hab",501800,55.5046977181295,0.942422522899029,0.39314978531332
"2511","Sample","Hab",502000,55.4079963049643,0.94078061521356,0.392464831761848
"2512","Sample","Hab",502200,55.06473658297,0.93495235730908,0.390033461237247
"2513","Sample","Hab",502400,55.06473658297,0.93495235730908,0.390033461237247
"2514","Sample","Hab",502600,54.8026526307783,0.930502394880852,0.388177073331822
"2515","Sample","Hab",502800,54.7969086385322,0.93040486678167,0.388136387598699
"2516","Sample","Hab",503000,54.3629105747852,0.923035949068671,0.385062301032999
"2517","Sample","Hab",503200,54.1889982833599,0.920083066390514,0.383830448904294
"2518","Sample","Hab",503400,53.9317338456685,0.91571493521624,0.38200819848937
"2519","Sample","Hab",503600,53.9317338456685,0.91571493521624,0.38200819848937
"2520","Sample","Hab",503800,53.6957999416043,0.91170897834688,0.380337036091512
"2521","Sample","Hab",504000,53.6957999416043,0.91170897834688,0.380337036091512
"2522","Sample","Hab",504200,54.1718384607836,0.919791707209225,0.383708902785871
"2523","Sample","Hab",504400,54.2820333354108,0.921662722384988,0.384489432958692
"2524","Sample","Hab",504600,54.1718384607836,0.919791707209225,0.383708902785871
"2525","Sample","Hab",504800,54.1718384607836,0.919791707209225,0.383708902785871
"2526","Sample","Hab",505000,53.9167509159757,0.915460537823189,0.381902071695886
"2527","Sample","Hab",505200,52.9270369524499,0.898656037144866,0.374891749177641
"2528","Sample","Hab",505400,52.9270369524499,0.898656037144866,0.374891749177641
"2529","Sample","Hab",505600,53.7804316580494,0.913145952855498,0.380936497804106
"2530","Sample","Hab",505800,52.9309703204486,0.89872282238549,0.374919609932638
"2531","Sample","Hab",506000,53.6849128021689,0.911524123986157,0.38025992051918
"2532","Sample","Hab",506200,53.6849128021689,0.911524123986157,0.38025992051918
"2533","Sample","Hab",506400,53.4547637408648,0.907616388822937,0.378629733206003
"2534","Sample","Hab",506600,53.4547637408648,0.907616388822937,0.378629733206003
"2535","Sample","Hab",506800,53.4547637408648,0.907616388822937,0.378629733206003
"2536","Sample","Hab",507000,53.0688361488752,0.90106366680387,0.375896138462227
"2537","Sample","Hab",507200,53.0013668798211,0.899918096043662,0.375418241460092
"2538","Sample","Hab",507400,53.0013668798211,0.899918096043662,0.375418241460092
"2539","Sample","Hab",507600,53.0013668798211,0.899918096043662,0.375418241460092
"2540","Sample","Hab",507800,53.0688361488752,0.90106366680387,0.375896138462227
"2541","Sample","Hab",508000,53.4636826395615,0.907767824131239,0.378692907374173
"2542","Sample","Hab",508200,54.7645783152803,0.929855925411699,0.387907386087689
"2543","Sample","Hab",508400,55.3605103938434,0.939974344861671,0.392128480488351
"2544","Sample","Hab",508600,56.4908171998084,0.959165992335133,0.400134647468306
